iter	Passed	Remaining
323	648	1353
324	650	1351
325	652	1348
326	654	1346
327	656	1344
328	657	1341
329	659	1339
330	661	1337
331	664	1336
332	666	1334
333	668	1332
334	669	1329
335	671	1327
336	673	1325
337	675	1322
338	677	1320
339	679	1318
340	681	1316
341	683	1314
342	685	1312
343	686	1310
344	688	1307
345	690	1305
346	692	1303
347	694	1301
348	696	1299
349	698	1296
350	700	1294
351	701	1292
352	703	1289
353	705	1287
354	707	1285
355	709	1283
356	711	1281
357	713	1280
358	716	1278
359	718	1277
360	720	1275
361	722	1273
362	724	1271
363	726	1269
364	728	1267
365	730	1265
366	732	1263
367	734	1261
368	736	1259
369	738	1257
370	740	1255
371	742	1253
372	744	1251
373	746	1248
374	748	1248
375	750	1246
376	753	1244
377	755	1243
378	757	1241
379	760	1240
380	761	1237
381	763	1235
382	765	1233
383	767	1230
384	769	1228
385	771	1226
386	773	1224
387	775	1222
388	777	1220
389	778	1218
390	780	1216
391	782	1214
392	784	1211
393	786	1210
394	788	1208
395	790	1205
396	792	1203
397	794	1201
398	796	1199
399	798	1197
400	799	1194
401	801	1192
402	803	1190
403	806	1189
404	807	1186
405	809	1184
406	811	1182
407	813	1179
408	814	1177
409	817	1175
410	819	1173
411	821	1171
412	822	1169
413	824	1167
414	826	1165
415	828	1162
416	830	1160
417	832	1158
418	834	1156
419	836	1154
420	837	1152
421	839	1150
422	841	1147
423	843	1145
424	845	1143
425	847	1141
426	848	1139
427	851	1137
428	853	1135
429	854	1133
430	856	1130
431	858	1128
432	860	1126
433	862	1125
434	864	1123
435	866	1121
436	868	1118
437	870	1116
438	872	1114
439	874	1112
440	876	1110
441	878	1108
442	880	1106
443	882	1104
444	883	1102
445	885	1100
446	888	1098
447	890	1097
448	893	1096
449	895	1094
450	897	1092
451	899	1090
452	901	1088
453	903	1086
454	905	1084
455	907	1082
456	909	1080
457	911	1078
458	913	1076
459	915	1074
460	917	1072
461	920	1071
462	922	1070
463	924	1068
464	927	1066
465	929	1065
466	931	1063
467	933	1061
468	936	1059
469	939	1059
470	942	1058
471	944	1056
472	946	1054
473	948	1052
474	950	1050
475	953	1049
476	956	1048
477	958	1046
478	960	1044
479	962	1042
480	964	1040
481	966	1039
482	969	1037
483	971	1035
484	973	1034
485	975	1031
486	977	1029
487	979	1027
488	982	1026
489	984	1025
490	987	1023
491	989	1021
492	991	1019
493	993	1017
494	995	1015
495	997	1013
496	1000	1012
497	1002	1010
498	1004	1008
499	1006	1006
500	1008	1004
501	1011	1003
502	1013	1001
503	1016	1000
504	1018	998
505	1020	996
506	1022	994
507	1024	992
508	1026	990
509	1029	988
510	1031	987
511	1033	985
512	1035	983
513	1037	980
514	1039	978
515	1041	977
516	1044	975
517	1046	973
518	1049	972
519	1051	970
520	1053	968
521	1056	967
522	1059	966
523	1062	965
524	1064	963
525	1066	961
526	1069	959
527	1071	958
528	1074	956
529	1076	954
530	1078	952
531	1080	950
532	1082	948
533	1084	946
534	1087	944
535	1089	942
536	1091	940
537	1093	938
538	1095	936
539	1098	935
540	1100	933
541	1103	932
542	1105	930
543	1107	928
544	1109	926
545	1110	923
546	1112	921
547	1114	919
548	1116	917
549	1119	915
550	1121	913
551	1123	911
552	1124	909
553	1126	906
554	1128	904
555	1130	902
556	1132	900
557	1134	898
558	1136	896
559	1138	894
560	1139	892
561	1141	889
562	1143	887
563	1145	885
564	1147	883
565	1149	881
566	1151	879
567	1153	877
568	1155	875
569	1157	872
570	1158	870
571	1160	868
572	1163	866
573	1165	865
574	1167	862
575	1169	860
576	1170	858
577	1172	856
578	1174	854
579	1176	852
580	1179	850
581	1180	848
582	1182	845
583	1184	843
584	1186	841
585	1188	839
586	1189	837
587	1192	835
588	1194	833
589	1196	831
590	1197	828
591	1199	826
592	1201	824
593	1203	822
594	1205	820
595	1207	818
596	1209	816
597	1211	814
598	1213	812
599	1215	810
600	1217	807
601	1218	805
602	1220	803
603	1222	801
604	1225	799
605	1227	797
606	1229	796
607	1231	793
608	1233	791
609	1235	789
610	1237	787
611	1239	785
612	1241	783
613	1243	781
614	1245	779
615	1247	777
616	1249	775
617	1250	773
618	1252	771
619	1254	768
620	1256	766
621	1258	764
622	1261	763
623	1263	761
624	1266	759
625	1268	757
626	1271	756
627	1273	754
628	1275	752
629	1278	750
630	1280	748
631	1283	747
632	1285	745
633	1287	743
634	1289	741
635	1291	739
636	1294	737
637	1295	735
638	1306	738
639	1308	735
640	1310	733
641	1311	731
642	1314	729
643	1316	727
644	1317	725
645	1319	723
646	1321	721
647	1323	718
648	1325	716
649	1326	714
650	1328	712
651	1330	710
652	1332	708
653	1334	705
654	1336	703
655	1338	701
656	1340	699
657	1342	697
658	1344	695
659	1346	693
660	1348	691
661	1350	689
662	1351	687
663	1353	685
664	1355	682
665	1357	680
666	1359	678
667	1361	676
668	1363	674
669	1365	672
670	1367	670
671	1369	668
672	1371	666
673	1372	664
674	1375	662
675	1376	659
676	1378	657
677	1380	655
678	1382	653
679	1384	651
680	1385	649
681	1387	647
682	1390	645
683	1392	643
684	1394	641
685	1396	639
686	1399	637
687	1401	635
688	1403	633
689	1406	631
690	1408	629
691	1410	627
692	1412	625
693	1413	623
694	1415	621
695	1417	619
696	1419	617
697	1421	615
698	1423	613
699	1425	611
700	1428	609
701	1430	607
702	1433	605
703	1435	603
704	1437	601
705	1439	599
706	1441	597
707	1443	595
708	1445	593
709	1447	591
710	1449	589
711	1451	586
712	1453	584
713	1454	582
714	1456	580
715	1458	578
716	1460	576
717	1462	574
718	1464	572
719	1465	570
720	1467	567
721	1469	565
722	1471	563
723	1473	561
724	1475	559
725	1476	557
726	1478	555
727	1481	553
728	1483	551
729	1485	549
730	1486	547
731	1488	545
732	1490	542
733	1492	540
734	1494	538
735	1496	536
736	1498	534
737	1499	532
738	1501	530
739	1503	528
740	1505	526
741	1507	524
742	1509	521
743	1510	519
744	1512	517
745	1514	515
746	1516	513
747	1518	511
748	1520	509
749	1522	507
750	1523	505
751	1526	503
752	1527	501
753	1530	499
754	1531	497
755	1533	495
756	1535	492
757	1537	490
758	1539	488
759	1541	486
760	1543	484
761	1545	482
762	1546	480
763	1548	478
764	1550	476
765	1552	474
766	1554	472
767	1556	470
768	1557	467
769	1559	465
770	1561	463
771	1563	461
772	1565	459
773	1567	457
774	1569	455
775	1571	453
776	1573	451
777	1575	449
778	1577	447
779	1579	445
780	1581	443
781	1583	441
782	1585	439
783	1587	437
784	1589	435
785	1591	433
786	1593	431
787	1594	429
788	1597	427
789	1599	425
790	1601	423
791	1604	421
792	1606	419
793	1607	417
794	1609	415
795	1611	413
796	1613	410
797	1615	408
798	1617	407
799	1620	405
800	1621	402
801	1623	400
802	1625	398
803	1627	396
804	1629	394
805	1631	392
806	1633	390
807	1635	388
808	1637	386
809	1638	384
810	1640	382
811	1642	380
812	1644	378
813	1646	376
814	1648	374
815	1650	372
816	1652	370
817	1654	368
818	1655	365
819	1657	363
820	1659	361
821	1661	359
822	1663	357
823	1665	355
824	1667	353
825	1669	351
826	1671	349
827	1673	347
828	1674	345
829	1676	343
830	1678	341
831	1680	339
832	1682	337
833	1684	335
834	1686	333
835	1687	331
836	1689	329
837	1691	327
838	1693	325
839	1695	323
840	1697	320
841	1699	318
842	1701	316
843	1703	314
844	1705	312
845	1707	310
846	1709	308
847	1711	306
848	1713	304
849	1715	302
850	1717	300
851	1719	298
852	1721	296
853	1722	294
854	1724	292
855	1726	290
856	1728	288
857	1730	286
858	1731	284
859	1733	282
860	1735	280
861	1737	278
862	1740	276
863	1742	274
864	1744	272
865	1746	270
866	1748	268
867	1749	266
868	1751	264
869	1754	262
870	1756	260
871	1758	258
872	1760	256
873	1762	254
874	1764	252
875	1766	250
876	1768	248
877	1770	245
878	1771	243
879	1773	241
880	1775	239
881	1783	238
882	1785	236
883	1787	234
884	1789	232
885	1790	230
886	1792	228
887	1794	226
888	1796	224
889	1798	222
890	1800	220
891	1802	218
892	1804	216
893	1806	214
894	1808	212
895	1810	210
896	1811	208
897	1814	206
898	1816	204
899	1818	202
900	1819	199
901	1821	197
902	1823	195
903	1825	193
904	1826	191
905	1828	189
906	1830	187
907	1833	185
908	1834	183
909	1836	181
910	1838	179
911	1840	177
912	1842	175
913	1844	173
914	1846	171
915	1848	169
916	1850	167
917	1852	165
918	1854	163
919	1855	161
920	1857	159
921	1859	157
922	1861	155
923	1863	153
924	1865	151
925	1867	149
926	1869	147
927	1870	145
928	1872	143
929	1874	141
930	1876	139
931	1878	137
932	1880	135
933	1882	132
934	1883	130
935	1885	128
936	1887	126
937	1889	124
938	1891	122
939	1893	120
940	1896	118
941	1897	116
942	1899	114
943	1901	112
944	1903	110
945	1905	108
946	1907	106
947	1909	104
948	1911	102
949	1914	100
950	1916	98
951	1919	96
952	1921	94
953	1922	92
954	1924	90
955	1926	88
956	1928	86
957	1930	84
958	1932	82
959	1934	80
960	1936	78
961	1938	76
962	1941	74
963	1943	72
964	1945	70
965	1948	68
966	1951	66
967	1953	64
968	1955	62
969	1957	60
970	1959	58
971	1961	56
972	1963	54
973	1965	52
974	1967	50
975	1969	48
976	1971	46
977	1972	44
978	1974	42
979	1976	40
980	1978	38
981	1980	36
982	1982	34
983	1984	32
984	1986	30
985	1988	28
986	1990	26
987	1991	24
988	1993	22
989	1996	20
990	1998	18
991	2000	16
992	2002	14
993	2004	12
994	2006	10
995	2007	8
996	2009	6
997	2011	4
998	2013	2
999	2015	0
