iter	RMSE
141	0.16689558
142	0.1660429614
143	0.1660159164
144	0.165617733
145	0.1649565296
146	0.16494749
147	0.1646007799
148	0.1645978024
149	0.1642773345
150	0.1636573841
151	0.1633429951
152	0.1629153705
153	0.1624615693
154	0.161748801
155	0.1609085949
156	0.1605331919
157	0.1600702371
158	0.1594675326
159	0.158899001
160	0.1584961491
161	0.1582791642
162	0.1579217395
163	0.1576369039
164	0.1572557042
165	0.156731834
166	0.1561403793
167	0.1558660369
168	0.1555133218
169	0.1552568781
170	0.1548523914
171	0.1538251399
172	0.1534423151
173	0.1527568037
174	0.1521728273
175	0.1517801552
176	0.1513543741
177	0.1510390083
178	0.1503686052
179	0.1499925884
180	0.1493961818
181	0.1489910272
182	0.1484853757
183	0.1481179318
184	0.1476467501
185	0.1474394924
186	0.1470296727
187	0.1468946021
188	0.1463009269
189	0.1457402409
190	0.1454020024
191	0.1448683929
192	0.1446803453
193	0.1443122333
194	0.1440090267
195	0.1435396103
196	0.1430279864
197	0.1425980412
198	0.1420885388
199	0.1417560085
200	0.1412147624
201	0.1407773059
202	0.1404718581
203	0.1402199525
204	0.139906742
205	0.139700257
206	0.1392112528
207	0.1388418123
208	0.1385729434
209	0.1381305568
210	0.1379362464
211	0.1373245338
212	0.1371666653
213	0.1369323982
214	0.1368953637
215	0.1366666893
216	0.1362036496
217	0.1360787162
218	0.1356785818
219	0.1355133335
220	0.1354061233
221	0.1350868785
222	0.1347275405
223	0.1346399491
224	0.1345110801
225	0.1340966598
226	0.1335302855
227	0.1332580781
228	0.1328090051
229	0.1326836778
230	0.1323687429
231	0.1323352514
232	0.1319595531
233	0.1316683483
234	0.1316155736
235	0.1313505656
236	0.1310787287
237	0.1307709039
238	0.1305801805
239	0.1303449366
240	0.1302456289
241	0.1298118922
242	0.1294887847
243	0.1292625229
244	0.1289603014
245	0.1288695125
246	0.1286745391
247	0.1285200437
248	0.1282219553
249	0.1279952844
250	0.1277699224
251	0.1273876684
252	0.126958791
253	0.1267617718
254	0.1267599989
255	0.1263593078
256	0.125961795
257	0.1258192438
258	0.1255959678
259	0.1254074143
260	0.1251960241
261	0.1247397143
262	0.1243778959
263	0.1241172058
264	0.1238110586
265	0.1236321609
266	0.1235019494
267	0.1234245427
268	0.1233001404
269	0.1230088363
270	0.1228763634
271	0.1227248285
272	0.122513813
273	0.1223242255
274	0.1221840483
275	0.1221177458
276	0.121922864
277	0.1217940716
278	0.1216943952
279	0.1214673961
280	0.1213088913
281	0.1210901983
282	0.1207157868
283	0.1204285867
284	0.1203150416
285	0.1201388654
286	0.1198617351
287	0.1197100284
288	0.1194483246
289	0.1192689315
290	0.1190981377
291	0.1190442674
292	0.1189790094
293	0.1187188077
294	0.1184451945
295	0.1182666661
296	0.1179442089
297	0.1174771005
298	0.1171571882
299	0.1169932636
300	0.1169296246
301	0.1167414077
302	0.1165992525
303	0.1165353764
304	0.1164449048
305	0.1160967664
306	0.1157956225
307	0.1155320996
308	0.1153259586
309	0.1149355553
310	0.1144748369
311	0.114308518
312	0.114225304
313	0.1138282778
314	0.1137143272
315	0.1136383623
316	0.1134448757
317	0.1133188689
318	0.1131392719
319	0.1128900486
320	0.1126762183
321	0.1122526664
322	0.1120539762
323	0.1117959986
324	0.1115451314
325	0.1113346212
326	0.1110295768
327	0.1108709163
328	0.1107176435
329	0.110511139
330	0.1102945461
331	0.1099756847
332	0.1098246707
333	0.1095720457
334	0.1094640355
335	0.1092260045
336	0.109122887
337	0.1087896608
338	0.1084434443
339	0.1082685288
340	0.1078883819
341	0.1078010418
342	0.107570851
343	0.1072625073
344	0.1070986577
345	0.1069606161
346	0.1067239881
347	0.1065185157
348	0.1063785846
349	0.1060281684
350	0.1059356776
351	0.1058293697
352	0.1057305501
353	0.10556299
354	0.1054525798
355	0.1053788328
356	0.1051497104
357	0.1050160107
358	0.1047897913
359	0.1045180407
360	0.1043493241
361	0.1041603702
362	0.1039374605
363	0.1037516195
364	0.1035786313
365	0.1034446261
366	0.1032714737
367	0.103135795
368	0.1029268235
369	0.1027849536
370	0.1024789551
371	0.1024195951
372	0.1022139583
373	0.1020343039
374	0.1018468359
375	0.1016844757
376	0.1015192892
377	0.1013185987
378	0.1011487739
379	0.1010467716
380	0.1009159803
381	0.1007023127
382	0.1005464513
383	0.1004093492
384	0.1001401519
385	0.1000570403
386	0.09985814055
387	0.09969455022
388	0.09942835637
389	0.09922264189
390	0.09893811458
391	0.09855578163
392	0.09841942279
393	0.0981751845
394	0.09796958794
395	0.0977427574
396	0.0975383233
397	0.09722335995
398	0.0971090993
399	0.09705219236
400	0.0968188397
401	0.09681847566
402	0.09663764313
403	0.09649300685
404	0.09633845388
405	0.09622393106
406	0.09605615326
407	0.09593578833
408	0.0957975622
409	0.09564489003
410	0.09543710295
411	0.09534455119
412	0.09510805491
413	0.09494527907
414	0.09456601406
415	0.09438517133
416	0.09412465923
417	0.09402076667
418	0.09396902235
419	0.09381342086
420	0.09354900882
421	0.09343267171
422	0.09331457286
423	0.09313103775
424	0.09301989583
425	0.0930187912
426	0.09291909448
427	0.09287366843
428	0.0927818493
429	0.09258103966
430	0.09254944961
431	0.09247969194
432	0.09236722687
433	0.09232351825
434	0.09215509473
435	0.09195826876
436	0.09184303875
437	0.09181095127
438	0.09163661005
439	0.09149198619
440	0.09133291373
441	0.09123596525
442	0.0909110993
443	0.090821005
444	0.09061736119
445	0.09047266612
446	0.09022440726
447	0.09009966911
448	0.08992671449
449	0.0896717447
450	0.08957749909
451	0.08951830208
452	0.08925483561
453	0.08902582844
454	0.08896963973
455	0.0889693679
456	0.08890386355
457	0.08882191082
458	0.08866365625
459	0.08847858711
460	0.08844826335
461	0.08840639142
462	0.08834650004
463	0.08833251083
464	0.08818927059
465	0.08798074701
466	0.08779653356
467	0.08768044448
468	0.08767910802
469	0.08754032339
470	0.0873485835
471	0.08706984861
472	0.08695688571
473	0.08683905409
474	0.08667573223
475	0.08651817247
476	0.08643082179
477	0.0863987216
478	0.0863159402
479	0.08624076638
480	0.08597495786
481	0.08591151821
482	0.08587784934
483	0.08575555118
484	0.08543497796
485	0.08530229769
486	0.08515541441
487	0.08507071647
488	0.08493522995
489	0.08477071075
490	0.08468137158
491	0.08457450028
492	0.08450338613
493	0.08444991519
494	0.08423847665
495	0.08401316045
496	0.08389128852
497	0.08378896745
498	0.08344486229
499	0.08326852634
500	0.08313739328
501	0.08294127568
502	0.08278976782
503	0.08268469445
504	0.08259293073
505	0.08247032668
506	0.08242018076
507	0.08235992668
508	0.08230927444
509	0.08216954256
510	0.08207644585
511	0.0820043377
512	0.08196990323
513	0.0818645166
514	0.08180159317
515	0.08174940735
516	0.08165201886
517	0.08155690502
518	0.08138164431
519	0.08115458098
520	0.08101019749
521	0.08093102834
522	0.08077825981
523	0.08067667104
524	0.08055601511
525	0.08046977305
526	0.08033329164
527	0.08024342334
528	0.0801125756
529	0.07992632625
530	0.07982011281
531	0.07967709041
532	0.07951428844
533	0.07945833044
534	0.07934115127
535	0.07918943691
536	0.07912549956
537	0.07904197389
538	0.07891310845
539	0.07876673847
540	0.07856956944
541	0.07841701922
542	0.07833450287
543	0.07828103213
544	0.07823329322
545	0.07817691163
546	0.0781413636
547	0.07790886985
548	0.07773647719
549	0.07757484315
550	0.07753991757
551	0.07750801052
552	0.07745387435
553	0.07740841961
554	0.07728934774
555	0.07713638311
556	0.07704502185
557	0.0770165706
558	0.0769398921
559	0.07689282743
560	0.07679601674
561	0.07665349272
562	0.07661588632
563	0.07650560199
564	0.07634522846
565	0.07608853688
566	0.07604552404
567	0.07592907318
568	0.07584501634
569	0.07577164956
570	0.07568533917
571	0.07560295083
572	0.07555325442
573	0.07545968669
574	0.0753368045
575	0.07526554647
576	0.07518758486
577	0.0750254731
578	0.07476768548
579	0.07465418172
580	0.07442595043
581	0.07431420434
582	0.0741821028
583	0.07417053341
584	0.07398708435
585	0.07396486321
586	0.07388601253
587	0.07367585279
588	0.07364408948
589	0.07353793272
590	0.07332964107
591	0.07315263007
592	0.0730268517
593	0.07283579925
594	0.07272190157
595	0.07256693071
596	0.0724600151
597	0.07228013978
598	0.0722662212
599	0.07220131968
600	0.07212151908
601	0.07204397364
602	0.07195548365
603	0.07189322257
604	0.07176374392
605	0.07167292525
606	0.07154525862
607	0.07144782287
608	0.07135907273
609	0.07132076946
610	0.07129320591
611	0.07115234017
612	0.07109939698
613	0.07094404564
614	0.07088452964
615	0.07079713372
616	0.07076007298
617	0.07073129532
618	0.07063316367
619	0.07046174295
620	0.07033926414
621	0.07029921012
622	0.07026800006
623	0.0701918082
624	0.0701067145
625	0.07003381537
626	0.07000530296
627	0.06987361716
628	0.06966251256
629	0.06944235934
630	0.0693989446
631	0.06929251404
632	0.069126593
633	0.06903289143
634	0.06896755582
635	0.06889210864
636	0.06876181597
637	0.06860991855
638	0.06842279337
639	0.06819318368
640	0.0680746431
641	0.06803556592
642	0.06787647685
643	0.06782653565
644	0.06774186932
645	0.06769938471
646	0.06760234754
647	0.06752028521
648	0.06743828471
649	0.06743794475
650	0.06738981802
651	0.06727594672
652	0.06727528072
653	0.06718355979
654	0.06714141842
655	0.06709891298
656	0.06706587507
657	0.06695930151
658	0.06695875349
659	0.06689756949
660	0.06678519574
661	0.06667807096
662	0.06667761965
663	0.06650674859
664	0.06643404112
665	0.06637531003
666	0.06623906924
667	0.06617958466
668	0.06613704114
669	0.06603344807
670	0.06600707016
671	0.06576928997
672	0.06568300539
673	0.06562415993
674	0.06556239158
675	0.0654705389
676	0.06529790357
677	0.06520586814
678	0.06512995204
679	0.06500962711
680	0.06479118327
681	0.06466671843
682	0.06459435184
683	0.06451424834
684	0.06447912641
685	0.0644032778
686	0.06434239691
687	0.06426641812
688	0.06419616085
689	0.064117509
690	0.06408364591
691	0.06404066557
692	0.06394082996
693	0.06388608492
694	0.0638428186
695	0.06382618957
696	0.06374774738
697	0.06359422334
698	0.06355203084
699	0.06348928738
700	0.06331148858
701	0.06321243873
702	0.06317254359
703	0.06308278735
704	0.06296840969
705	0.0628575078
706	0.06283456332
707	0.06272040057
708	0.06260907686
709	0.06255556273
710	0.06249791402
711	0.06246904785
712	0.06241042845
713	0.06238130526
714	0.0623006565
715	0.06220828821
716	0.06207017779
717	0.06203669655
718	0.06202139755
719	0.0619340906
720	0.0618746088
721	0.06178630052
722	0.06174477626
723	0.06172953235
724	0.06159958249
725	0.06153488422
726	0.06148834752
727	0.06143197689
728	0.06138163435
729	0.06131513504
730	0.06128762589
731	0.06124540397
732	0.06103028342
733	0.06098273472
734	0.06087224646
735	0.06082945393
736	0.06082913446
737	0.06070440435
738	0.06064482563
739	0.06056677398
740	0.06052056698
741	0.06040593362
742	0.06033796729
743	0.06010911376
744	0.06004597009
745	0.05998424221
746	0.05990128133
747	0.05984342837
748	0.05973004345
749	0.05962011223
750	0.0595536282
751	0.05947864293
752	0.05939109298
753	0.05935050366
754	0.0592241928
755	0.0591839106
756	0.05907103474
757	0.05903903026
758	0.05900590528
759	0.05891217897
760	0.05881942764
761	0.05868406166
762	0.0585602798
763	0.05844361718
764	0.05836621701
765	0.05830873397
766	0.05829292987
767	0.05821481967
768	0.05814169882
769	0.05804848517
770	0.05798177945
771	0.05794179966
772	0.05787204948
773	0.05784501922
774	0.05780070758
775	0.05764414605
776	0.05761841477
777	0.0575486416
778	0.05750167007
779	0.05738058336
780	0.05736871218
781	0.05726074651
782	0.05720264906
783	0.0571429367
784	0.05706632935
785	0.05698533731
786	0.05693038041
787	0.05683547438
788	0.05675380545
789	0.05672331817
790	0.05662852587
791	0.0565421055
792	0.05649737913
793	0.05649720396
794	0.05647313851
795	0.05643310781
796	0.05637918143
797	0.05633850084
798	0.05622855834
799	0.05616449106
800	0.05607799803
801	0.05602610179
802	0.05597016353
803	0.055939743
804	0.05588746186
805	0.05585520461
806	0.05576736992
807	0.05568491544
808	0.05560495408
809	0.05538355391
810	0.05531561827
811	0.05526361622
812	0.05511066721
813	0.05504850628
814	0.05500242587
815	0.05487906294
816	0.05480089565
817	0.05470250622
818	0.05460137316
819	0.05454759304
820	0.05449224778
821	0.05444719649
822	0.05440611588
823	0.05432251078
824	0.05423637217
825	0.05420657623
826	0.05409982593
827	0.05397999699
828	0.05391825988
829	0.05386999943
830	0.05376683293
831	0.05372738125
832	0.0536585047
833	0.05359482803
834	0.0534851071
835	0.05344034887
836	0.05337778428
837	0.05330072098
838	0.05319641031
839	0.05313831633
840	0.05311103117
841	0.05305902182
842	0.05301592913
843	0.05291076104
844	0.05287141351
845	0.05270671001
846	0.05257441879
847	0.05253716655
848	0.0524534335
849	0.05233660603
850	0.05229579878
851	0.0522643823
852	0.05212220339
853	0.0520252793
854	0.05200304282
855	0.05198143638
856	0.05193253043
857	0.05184266777
858	0.05182721174
859	0.05179610213
860	0.05174376489
861	0.05169821492
862	0.05162551184
863	0.05160566795
864	0.05151908221
865	0.0514731408
866	0.05144645184
867	0.05136154413
868	0.05125939226
869	0.05123729165
870	0.0511846727
871	0.05111863485
872	0.05101494643
873	0.05089302302
874	0.05081928556
875	0.05079164759
876	0.05078336838
877	0.05070668715
878	0.05059935692
879	0.05056916992
880	0.05053574751
881	0.05048288431
882	0.05044410825
883	0.05037284948
884	0.05023725444
885	0.05020244811
886	0.05011855859
887	0.05006360501
888	0.04994871796
889	0.04992246429
890	0.049816285
891	0.04972989108
892	0.04967634341
893	0.04962044353
894	0.04955935747
895	0.04944874323
896	0.04944857039
897	0.04943136598
898	0.04938209471
899	0.04931211841
900	0.04924292292
901	0.04924228081
902	0.04922538493
903	0.04914880614
904	0.04910891674
905	0.04903413795
906	0.04892266122
907	0.04885590107
908	0.04883211737
909	0.04881803348
910	0.04874186514
911	0.04871135832
912	0.0486916941
913	0.04863278363
914	0.04859697007
915	0.04853777047
916	0.04849278732
917	0.04843612781
918	0.0483751234
919	0.04833552008
920	0.04827239763
921	0.04823596119
922	0.0482280335
923	0.04813711602
924	0.04811113665
925	0.04800320172
926	0.04786752248
927	0.04781589769
928	0.04769573542
929	0.04762068118
930	0.04754308964
931	0.04741307004
932	0.04738063775
933	0.04733747747
934	0.04730344749
935	0.04728723326
936	0.04727369606
937	0.04721484739
938	0.04718652224
939	0.04714178032
940	0.04709746642
941	0.04707006906
942	0.04700719673
943	0.04694230215
944	0.04687412313
945	0.04687392871
946	0.04678901802
947	0.04667886002
948	0.04665541841
949	0.04664107202
950	0.04659381238
951	0.04645853023
952	0.04638996473
953	0.04635917641
954	0.04634106743
955	0.04625290696
956	0.04618333937
957	0.04607802614
958	0.04596239727
959	0.04590923193
960	0.04585070532
961	0.04584595256
962	0.04582370616
963	0.045770647
964	0.04569853296
965	0.04563338727
966	0.04561854508
967	0.04553551034
968	0.04540999755
969	0.04528911253
970	0.04525941246
971	0.04516549921
972	0.04511827773
973	0.04510311117
974	0.0450798102
975	0.04504482503
976	0.04500657998
977	0.04491697581
978	0.04489868334
979	0.04488289938
980	0.04482328205
981	0.04480350072
982	0.04478043573
983	0.04474576153
984	0.04469402823
985	0.04459573778
986	0.044552984
987	0.04448562517
988	0.04436776854
989	0.04434556248
990	0.04433152479
991	0.04427146498
992	0.04417023231
993	0.04412927649
994	0.04410973067
995	0.04398505989
996	0.04389084287
997	0.04381385857
998	0.04375901856
999	0.0437257173
